Index,Wallet Address,X Username,Tier,Total Balance (USD),Total ETH,Robinhood Chain (ETH),Base Chain (ETH),Arbitrum (ETH),Ethereum Mainnet (ETH),Qualification Reason
1,0x000000000000000000000000000000000000dead,"zqprobe6",GTD,$35416348.22,12648.695793,0.224560,4.411865,3.657108,12640.402260,"Balance >= $10"
2,0x0000000000000000000000000000000000000001,"probe_test_1787949335822",GTD,$176399.09,62.999675,4.085845,1.694050,0.111947,57.107833,"Balance >= $10"
3,0xaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,"probe_ape_8538",GTD,$86811.60,31.004142,0.000000,0.000000,0.000000,31.004142,"Balance >= $10"
4,0x1234567890123456789012345678901234567890,"@ape_tester_rh_99",GTD,$49420.54,17.650192,0.000000,0.274749,0.000000,17.375442,"Balance >= $10"
5,0x1111111111111111111111111111111111111111,"fake_probe_user2",GTD,$16009.47,5.717668,0.000488,0.000000,0.000000,5.717180,"Balance >= $10"
6,0x0000000000000000000000000000000000000002,"uniqtest2_1787949366273",GTD,$11586.78,4.138135,0.001287,0.003445,0.000719,4.132685,"Balance >= $10"
7,0x0000000000000000000000000000000000000004,"uniqtest3_1787949366544",GTD,$5321.60,1.900572,0.000000,0.000101,0.000000,1.900471,"Balance >= $10"
8,0x0000000000000000000000000000000000000003,"uniqtest_1787949365919",GTD,$4177.41,1.491931,0.000000,0.000107,0.000700,1.491124,"Balance >= $10"
9,0x06142b4b990cE6B3f004c8E8df85086E22CCB745,"@Shreyashoo",GTD,$2961.16,1.057556,0.127792,0.795117,0.001290,0.133356,"Balance >= $10"
10,0x0CCfA1c3441F3fEbDcEE067bd1Cbe3af7BBB614b,"@LeeNic17",GTD,$1270.29,0.453675,0.041856,0.301444,0.000000,0.110375,"Balance >= $10"
11,0xD88B2D4B5FEbF8d5f440DE9f4e5E216F56fEa1ba,"@furkaggn",GTD,$1131.20,0.403999,0.238860,0.151031,0.000000,0.014109,"Balance >= $10"
12,0x90Db52cEd0791c5a618A9d865A06C50a2fB8deaD,"@greenshit333",GTD,$807.19,0.288283,0.288283,0.000000,0.000000,0.000000,"Balance >= $10"
13,0x9e689001Ccd7F8502a2C5fd23a46b376ABC69742,"@sasakunnpannda",GTD,$600.79,0.214566,0.214202,0.000000,0.000000,0.000364,"Balance >= $10"
14,0xb147c1719d46b65bb2a8d49db7835322b86b897a,"ouquaevysayu",GTD,$507.85,0.181374,0.119838,0.000000,0.000000,0.061536,"Balance >= $10"
15,0x240EF91e500cE8b7ecB661815924fc05ECfEA1D0,"@guochaozhang678",GTD,$443.39,0.158353,0.000000,0.018923,0.000000,0.139430,"Balance >= $10"
16,0x46c2e6EFCeb9B4D7F92e300B8E0580D1943CE29B,"@__Ryan310",GTD,$357.05,0.127519,0.043690,0.000000,0.000000,0.083829,"Balance >= $10"
17,0x5f2eff996b7412eb38c3dd0e4e2ba456af52f772,"agrobaks",GTD,$303.34,0.108334,0.085111,0.000000,0.000000,0.023223,"Balance >= $10"
18,0xa9d73998ccee6ef8c2d0bc92a24c89828828711a,"mistyriver45",GTD,$288.11,0.102898,0.080934,0.015564,0.000000,0.006400,"Balance >= $10"
19,0x03f085d90ffd51517a301483e408cd6e55ff0c56,"ramenrebel69",GTD,$257.94,0.092120,0.067960,0.000000,0.000000,0.024160,"Balance >= $10"
20,0xd619c6ba24bd6e1f2939b79984870707a2732bcc,"@minsu8909",GTD,$251.91,0.089969,0.018146,0.052495,0.000000,0.019328,"Balance >= $10"
21,0xdc01539ab6d7d75c6dc29a0baaf7f3f9f6d1178b,"pierrep18732045",GTD,$202.86,0.072449,0.070817,0.000080,0.000000,0.001552,"Balance >= $10"
22,0xb8CB170D308e8535687A43bd1934eb1F7e9AF3c8,"@AriezmanMunaf",GTD,$194.51,0.069468,0.063443,0.001553,0.000000,0.004472,"Balance >= $10"
23,0xe6ab4a4660a4f83b75147de8214f0f8520610042,"frozenpeak09",GTD,$180.45,0.064446,0.064242,0.000016,0.000000,0.000188,"Balance >= $10"
24,0x2653116d3bdcb826ba31a709cc47ff1a87d33118,"@mescalin99",GTD,$177.39,0.063353,0.063290,0.000034,0.000000,0.000029,"Balance >= $10"
25,0x2b0d7c5f4edaec336285b6031588818c6f43bb04,"nftsquigg",GTD,$171.72,0.061329,0.035647,0.000080,0.000000,0.025603,"Balance >= $10"
26,0x0a18aBEDf3F82F22ad4Ba4B7cC25Df7A465570c0,"@0xbleki",GTD,$123.23,0.044011,0.000000,0.003436,0.000000,0.040575,"Balance >= $10"
27,0x451Bae98FE4Daf99D45d3399B5acEE2e55654c76,"@sklszoyunhamuru",GTD,$116.36,0.041558,0.010172,0.000000,0.000000,0.031386,"Balance >= $10"
28,0x697E496d9802Ac15b9b40D48d41f67DAFB4a278f,"Michell01243762",GTD,$114.44,0.040870,0.032032,0.000005,0.000001,0.008833,"Balance >= $10"
29,0x536af32f26c35c8fb48c2be240436d4c8bcbebba,"rebelgamer984",GTD,$113.93,0.040691,0.040602,0.000005,0.000000,0.000084,"Balance >= $10"
30,0x63f2d1a0c7344e918fdbc4c9331c13a5173c50ed,"eva_melamori",GTD,$109.60,0.039142,0.010602,0.000000,0.000000,0.028540,"Balance >= $10"
31,0xec3D68dc25BE091b812A67B075f4668e4E4183c3,"MaxWayld",GTD,$107.10,0.038249,0.036338,0.000846,0.000000,0.001066,"Balance >= $10"
32,0xD49A12Bde81E4218487Cffb890a661b85d248D4a,"Th3ryks",GTD,$105.93,0.037833,0.033695,0.000000,0.000000,0.004138,"Balance >= $10"
33,0xdb30ad412908b947a0637afd2491a3b032916145,"xiaoyang8791",GTD,$103.73,0.037046,0.003705,0.000000,0.000993,0.032348,"Balance >= $10"
34,0x693658afbf87aca8ae0bd91bb76017fb9d2e8331,"coffeecup55",GTD,$100.39,0.035854,0.035264,0.000084,0.000000,0.000506,"Balance >= $10"
35,0x64e7462846ecf2e1577f899cc34b76fed6425960,"@Vupk274",GTD,$99.40,0.035500,0.031653,0.001105,0.000780,0.001961,"Balance >= $10"
36,0x0c09806d119a2e46e0b5fbe02d5f6f885d724cd5,"@Boyko470",GTD,$94.29,0.033674,0.002456,0.000000,0.000000,0.031218,"Balance >= $10"
37,0x5B6c16A960F6e7B1603B3D4c420e0C0A5f6e2AFb,"@nonameme999",GTD,$91.54,0.032693,0.032457,0.000103,0.000000,0.000133,"Balance >= $10"
38,0x788fb0af189f037be0e55deeede8c1205c93867b,"startuplabno",GTD,$91.32,0.032613,0.031261,0.000000,0.000000,0.001353,"Balance >= $10"
39,0x89ec2156665C05C72E0C85B25CB29cEA5D12458e,"@giruxNft",GTD,$89.40,0.031929,0.031344,0.000483,0.000000,0.000102,"Balance >= $10"
40,0x44437060716f7c37548ccd9fec0a3a1422d30ec3,"imukuls",GTD,$83.32,0.029756,0.016340,0.000078,0.000000,0.013337,"Balance >= $10"
41,0xb8E3DfDd19b6Bf35b9Fd87F8373F7f82C53bc93C,"zenic",GTD,$78.66,0.028091,0.028091,0.000000,0.000000,0.000000,"Balance >= $10"
42,0x6243D50775F346fC1203f875DBf607C90a85aa74,"sol99nft",GTD,$72.58,0.025921,0.024479,0.001194,0.000000,0.000248,"Balance >= $10"
43,0x4c341C983A853a1794588BBC756D20BCD124470d,"gurbus_",GTD,$70.87,0.025312,0.020934,0.000001,0.000047,0.004331,"Balance >= $10"
44,0x4F248CdccE3cB678D2CCfdFB4cDa4579fB8b4F34,"@Yapstein",GTD,$67.70,0.024179,0.024130,0.000003,0.000020,0.000027,"Balance >= $10"
45,0x68B16c919df56e234F7B428f616eb78f6cA5b32E,"@mochibr3ad",GTD,$67.29,0.024032,0.016708,0.000000,0.000000,0.007324,"Balance >= $10"
46,0x6ba0a637c1f371015ab0a5d8e8c8c73398456f67,"@dxxineth",GTD,$64.27,0.022953,0.022795,0.000091,0.000000,0.000068,"Balance >= $10"
47,0x769A5c0DF873d554B3b8A0140eb4a2Fd6bC1CdB3,"Gipparr_ar",GTD,$62.56,0.022344,0.022324,0.000000,0.000000,0.000020,"Balance >= $10"
48,0xf3221ce6c0170d89ff7dc2aa999874dff28ab095,"FacebookGaming",GTD,$61.29,0.021888,0.014877,0.000000,0.000000,0.007011,"Balance >= $10"
49,0x23dd5e258bd15b120ac0db87e480769cebcb8c6b,"@Temp10116",GTD,$59.22,0.021150,0.013017,0.000169,0.005355,0.002609,"Balance >= $10"
50,0x9a8a6a491160ef695207c3177eb42677d494462b,"@OxLeeCS",GTD,$58.91,0.021041,0.020956,0.000000,0.000000,0.000085,"Balance >= $10"
51,0x80c31fa2fd8aa96b3144a026e554f70757074a53,"@0xvivlos",GTD,$58.38,0.020851,0.007238,0.001158,0.000086,0.012369,"Balance >= $10"
52,0x24CdD1615c5b40A5692f94dBA40eC653b3309727,"@moyore_",GTD,$56.76,0.020271,0.012124,0.000202,0.000000,0.007945,"Balance >= $10"
53,0xabe56a2c8423b4831f6412d24f17101a0b4d3db0,"@jaooykuy",GTD,$56.53,0.020190,0.020175,0.000014,0.000000,0.000001,"Balance >= $10"
54,0xe1017d7a224d2a54c13e414054c46e1c5cfb0fbd,"@dittsleepyhead",GTD,$55.40,0.019785,0.018697,0.000000,0.000000,0.001088,"Balance >= $10"
55,0x6478f84a88950e39CD242df5AF9E824E897AA658,"@LeeShin37179820",GTD,$50.68,0.018100,0.013271,0.000797,0.000337,0.003695,"Balance >= $10"
56,0x28f1DD1c0322Ab37FC92445c80CDE829ad69A2aD,"@mukesh_aham",GTD,$50.18,0.017922,0.003118,0.005967,0.000565,0.008272,"Balance >= $10"
57,0x983b9ca5a11e1ec1b96693311747e86146e1e531,"Joshdemps1",GTD,$49.34,0.017622,0.011308,0.000000,0.000000,0.006315,"Balance >= $10"
58,0xa87d8009ed20ea8ac371d186a7e0be16474b3082,"RiverNRoar",GTD,$48.79,0.017426,0.017327,0.000000,0.000000,0.000100,"Balance >= $10"
59,0x2Cc338EFc05b7617e1eC196033DBc3aB5397D733,"",GTD,$48.58,0.017350,0.012298,0.000405,0.000011,0.004635,"Balance >= $10"
60,0xFaaeD7D4ce2FfA63B5F0c7eabb6A71907fdb8b93,"@enesdas3",GTD,$48.29,0.017247,0.000680,0.015075,0.000000,0.001492,"Balance >= $10"
61,0x399e7fE41A3a2812A9734366AB5EE63e732c5758,"@0xalhamid",GTD,$46.48,0.016600,0.001971,0.005105,0.000000,0.009524,"Balance >= $10"
62,0x80aBfF475E84959E4941B225cbcCDdF282b655AB,"@sneak3rG",GTD,$46.20,0.016499,0.015145,0.001195,0.000000,0.000159,"Balance >= $10"
63,0xb479c37d49de1eaad920fab0b26c235757c7afc3,"@sheclk73387",GTD,$45.72,0.016327,0.016327,0.000000,0.000000,0.000000,"Balance >= $10"
64,0xccf7814732199a42aabc2736de16bb440f1e96db,"animechoices",GTD,$45.33,0.016190,0.014717,0.000000,0.000000,0.001473,"Balance >= $10"
65,0x9dc5e256cce9f0d46f0ab92ea95e005fe7c9f879,"BurgerKingBE_GG",GTD,$45.29,0.016175,0.012526,0.000000,0.000000,0.003648,"Balance >= $10"
66,0x8F299d4Abd0aAbC517201592cc2fd776057a90e3,"@torolokuooo",GTD,$44.54,0.015907,0.012666,0.001446,0.000064,0.001731,"Balance >= $10"
67,0xa695d583f95a11d2dc4662e2bc5b006457c5d1d1,"Kiet10203",GTD,$43.88,0.015672,0.015672,0.000000,0.000000,0.000000,"Balance >= $10"
68,0xfd6f9512d23adc26789c37a745f38530c00ea20e,"KedrynFuel",GTD,$43.78,0.015636,0.014453,0.000000,0.000000,0.001183,"Balance >= $10"
69,0xC08F28E46C7a332613De22Ce4eF9f636477dbC7b,"@bytevault_xx",GTD,$42.89,0.015318,0.000104,0.000001,0.000000,0.015213,"Balance >= $10"
70,0xdd11627ef2941c2044396777bcbf04d03a9e864f,"3oyzofc",GTD,$42.84,0.015299,0.015253,0.000000,0.000000,0.000046,"Balance >= $10"
71,0x74c64881774539b082be0285436510f08c8c76d9,"nft_clone",GTD,$42.49,0.015176,0.014891,0.000000,0.000000,0.000285,"Balance >= $10"
72,0xD6ddb6ad58c06d070E8Ad04641f2a4234C82c186,"@JosVara1",GTD,$42.27,0.015095,0.010471,0.002164,0.000000,0.002459,"Balance >= $10"
73,0xbb83f12545552dbd3d07471cf3ff0ca8eb6e8aff,"PixelRaven",GTD,$42.03,0.015010,0.014377,0.000000,0.000000,0.000633,"Balance >= $10"
74,0x0dd136494ef1c8a8f6735494d74d63f2e2ae5080,"Bus_hacker",GTD,$41.78,0.014920,0.013416,0.000000,0.000000,0.001504,"Balance >= $10"
75,0x60BDC4DB5B0365013980e23A372d0E1cb1B03Ed4,"@RZ_spirit",GTD,$40.70,0.014536,0.013998,0.000000,0.000000,0.000538,"Balance >= $10"
76,0x087cc7b55d9fb8b960ee3c4ab987666bba881395,"Anto_Gs6",GTD,$40.58,0.014491,0.011903,0.000000,0.000000,0.002589,"Balance >= $10"
77,0xA0c9EA7Dcd2a50FC7aD758B96356e99f04b9861d,"notslippage",GTD,$39.88,0.014243,0.012122,0.000120,0.000000,0.002001,"Balance >= $10"
78,0x257241c5c7b3bd93ae717355e7aa7983ce9822d3,"MukeshA67828539",GTD,$39.70,0.014178,0.013576,0.000000,0.000000,0.000602,"Balance >= $10"
79,0x0671d9d0c22ed0c52e677a2a505d5c52b081285b,"iamtherealak",GTD,$39.26,0.014020,0.013986,0.000000,0.000000,0.000034,"Balance >= $10"
80,0xadc7ea137f33658f0004aff46923ec7b37fdf370,"KrimoOctogone",GTD,$39.20,0.013999,0.013818,0.000000,0.000000,0.000180,"Balance >= $10"
81,0xB37Fe18B1B6C21845fbF13C367A3daA2135Ff0a8,"@hardscaleco",GTD,$38.39,0.013710,0.012988,0.000000,0.000000,0.000722,"Balance >= $10"
82,0x496429c807a0869dc97692cEDB15fC47bb463e7f,"@0xkingstonrayl",GTD,$38.30,0.013678,0.013571,0.000000,0.000000,0.000106,"Balance >= $10"
83,0x09b0d3f87218f82a8a3be99171bcce81c2c798d2,"Chumpn",GTD,$38.00,0.013572,0.011679,0.000000,0.000000,0.001893,"Balance >= $10"
84,0x1b3cd7cB46CaEBFbd61D2357dBffb544E6821da9,"@restuprasetia5",GTD,$37.72,0.013472,0.013408,0.000000,0.000000,0.000064,"Balance >= $10"
85,0xD00686af39c9972a579cF50769cC7db61eFED157,"@ralphbaceet",GTD,$37.07,0.013240,0.000575,0.000072,0.000000,0.012594,"Balance >= $10"
86,0x4915e00b676803e80b208ed46becf5f07755e6d2,"LeviatagamerXx",GTD,$36.90,0.013180,0.011315,0.000000,0.000000,0.001865,"Balance >= $10"
87,0xe88d72ac13c91eeb7af569e3192e520479c679df,"JRINFORMATICOS",GTD,$36.75,0.013126,0.011507,0.001030,0.000000,0.000590,"Balance >= $10"
88,0x58180860f8856b93d7267cad86a2f7da164db0e0,"emma_uk23",GTD,$36.66,0.013092,0.006401,0.000000,0.000000,0.006691,"Balance >= $10"
89,0xf818d4e6d663ccfe211f3a31fe2441a450c05cbd,"Orugamu1",GTD,$36.34,0.012980,0.012721,0.000000,0.000000,0.000258,"Balance >= $10"
90,0x6d033b4848c6661c5e609c4fb64ec9024b88b771,"@being_mubee_",GTD,$35.62,0.012720,0.011881,0.000839,0.000000,0.000000,"Balance >= $10"
91,0xF0B39DE459Ba00c3aA3a96976124c948c7DE6C8E,"AsruliaL",GTD,$35.48,0.012672,0.002959,0.005966,0.000000,0.003748,"Balance >= $10"
92,0x1e0a567f6e33Ac80F4D56E303985d037412d7648,"ToWn1_31ihj",GTD,$34.37,0.012273,0.012200,0.000016,0.000057,0.000000,"Balance >= $10"
93,0x364cb376d329f0da34436558a0e4ef40fb5fee5b,"ayokanmi_o",GTD,$34.34,0.012264,0.010908,0.000000,0.000000,0.001356,"Balance >= $10"
94,0x9177f7ee7e743a2cdab540c6c51ae3ff35c43ae4,"StartupGrindOM",GTD,$34.23,0.012223,0.012183,0.000000,0.000000,0.000040,"Balance >= $10"
